,ENCODED_ID,ENCODED_FROM_NODE,ENCODED_TO_NODE,ENCODED_SPEED,ENCODED_DISTANCE
0,rl_A10_10_11,rn_A10_10,rn_A10_11,1,9166.666599999997
1,rl_A10_11_12,rn_A10_11,rn_A10_12,1,1250.0
2,rl_A10_11_13,rn_A10_11,rn_A10_13,1,2234.3427053592754
3,rl_A10_12_InterBay3_374,rn_A10_12,rn_InterBay3_374,1,1500.7164279273077
4,rl_A10_13_14,rn_A10_13,rn_A10_14,1,3086.614200000011
5,rl_A10_14_16,rn_A10_14,rn_A10_16,1,2234.3427053592754
6,rl_A10_15_16,rn_A10_15,rn_A10_16,1,1250.0
7,rl_A10_16_17,rn_A10_16,rn_A10_17,1,9166.666599999997
8,rl_A10_17_18,rn_A10_17,rn_A10_18,1,1250.0
9,rl_A10_18_19,rn_A10_18,rn_A10_19,1,11250.0
10,rl_A10_19_20,rn_A10_19,rn_A10_20,1,1250.0
11,rl_A10_19_31,rn_A10_19,rn_A10_31,1,2234.3427053592754
12,rl_A10_1_2,rn_A10_1,rn_A10_2,1,1250.0
13,rl_A10_20_21,rn_A10_20,rn_A10_21,1,14166.666700000002
14,rl_A10_21_22,rn_A10_21,rn_A10_22,1,1250.0
15,rl_A10_22_23,rn_A10_22,rn_A10_23,1,11250.0
16,rl_A10_23_24,rn_A10_23,rn_A10_24,1,1250.0
17,rl_A10_23_35,rn_A10_23,rn_A10_35,1,1964.2997406223442
18,rl_A10_24_25,rn_A10_24,rn_A10_25,1,9166.666670000006
19,rl_A10_25_26,rn_A10_25,rn_A10_26,1,1250.0
20,rl_A10_25_27,rn_A10_25,rn_A10_27,1,2234.3427053592754
21,rl_A10_26_InterBay2_243,rn_A10_26,rn_InterBay2_243,1,1500.7164001627807
22,rl_A10_27_28,rn_A10_27,rn_A10_28,1,3086.614200000011
23,rl_A10_28_2,rn_A10_28,rn_A10_2,1,2234.3427053592754
24,rl_A10_29_30,rn_A10_29,rn_A10_30,1,3086.614200000011
25,rl_A10_2_3,rn_A10_2,rn_A10_3,1,9166.666670000006
26,rl_A10_30_22,rn_A10_30,rn_A10_22,1,2234.3427053592754
27,rl_A10_31_32,rn_A10_31,rn_A10_32,1,3086.614200000011
28,rl_A10_32_8,rn_A10_32,rn_A10_8,1,2234.3427053592754
29,rl_A10_33_34,rn_A10_33,rn_A10_34,1,5303.364300000016
30,rl_A10_34_A9_18,rn_A10_34,rn_A9_18,1,1964.299740622333
31,rl_A10_35_36,rn_A10_35,rn_A10_36,1,5303.364300000016
32,rl_A10_36_A11_4,rn_A10_36,rn_A11_4,1,1964.299740622322
33,rl_A10_3_4,rn_A10_3,rn_A10_4,1,1250.0
34,rl_A10_4_5,rn_A10_4,rn_A10_5,1,11250.0
35,rl_A10_5_29,rn_A10_5,rn_A10_29,1,2234.3427053592754
36,rl_A10_5_6,rn_A10_5,rn_A10_6,1,1250.0
37,rl_A10_6_7,rn_A10_6,rn_A10_7,1,14166.666700000002
38,rl_A10_7_8,rn_A10_7,rn_A10_8,1,1250.0
39,rl_A10_8_9,rn_A10_8,rn_A10_9,1,11250.0
40,rl_A10_9_10,rn_A10_9,rn_A10_10,1,1250.0
41,rl_A10_9_33,rn_A10_9,rn_A10_33,1,1964.2997406223442
42,rl_A11_10_11,rn_A11_10,rn_A11_11,1,9166.666599999997
43,rl_A11_11_12,rn_A11_11,rn_A11_12,1,1250.0
44,rl_A11_11_13,rn_A11_11,rn_A11_13,1,2234.3427053592995
45,rl_A11_12_InterBay3_383,rn_A11_12,rn_InterBay3_383,1,1500.7164999139238
46,rl_A11_13_14,rn_A11_13,rn_A11_14,1,3086.614100000006
47,rl_A11_14_16,rn_A11_14,rn_A11_16,1,2234.3427053592754
48,rl_A11_15_16,rn_A11_15,rn_A11_16,1,1250.0
49,rl_A11_16_17,rn_A11_16,rn_A11_17,1,9166.666599999997
50,rl_A11_17_18,rn_A11_17,rn_A11_18,1,1250.0
51,rl_A11_18_19,rn_A11_18,rn_A11_19,1,11250.0
52,rl_A11_19_20,rn_A11_19,rn_A11_20,1,1250.0
53,rl_A11_19_31,rn_A11_19,rn_A11_31,1,2234.3427053592754
54,rl_A11_1_2,rn_A11_1,rn_A11_2,1,1250.0
55,rl_A11_20_21,rn_A11_20,rn_A11_21,1,14166.666700000002
56,rl_A11_21_22,rn_A11_21,rn_A11_22,1,1250.0
57,rl_A11_22_23,rn_A11_22,rn_A11_23,1,11250.0
58,rl_A11_23_24,rn_A11_23,rn_A11_24,1,1250.0
59,rl_A11_23_35,rn_A11_23,rn_A11_35,1,1964.2997406223442
60,rl_A11_24_25,rn_A11_24,rn_A11_25,1,9166.666670000006
61,rl_A11_25_26,rn_A11_25,rn_A11_26,1,1250.0
62,rl_A11_25_27,rn_A11_25,rn_A11_27,1,2234.3427053592754
63,rl_A11_26_InterBay2_235,rn_A11_26,rn_InterBay2_235,1,1500.7164721493982
64,rl_A11_27_28,rn_A11_27,rn_A11_28,1,3086.614100000006
65,rl_A11_28_2,rn_A11_28,rn_A11_2,1,2234.3427053592995
66,rl_A11_29_30,rn_A11_29,rn_A11_30,1,3086.614100000006
67,rl_A11_2_3,rn_A11_2,rn_A11_3,1,9166.666670000006
68,rl_A11_30_22,rn_A11_30,rn_A11_22,1,2234.3427053592754
69,rl_A11_31_32,rn_A11_31,rn_A11_32,1,3086.614100000006
70,rl_A11_32_8,rn_A11_32,rn_A11_8,1,2234.3427053592995
71,rl_A11_33_34,rn_A11_33,rn_A11_34,1,5303.364300000016
72,rl_A11_34_A10_18,rn_A11_34,rn_A10_18,1,1964.2997406223442
73,rl_A11_35_36,rn_A11_35,rn_A11_36,1,5303.3642999999865
74,rl_A11_36_A12_4,rn_A11_36,rn_A12_4,1,1964.2997406223442
75,rl_A11_3_4,rn_A11_3,rn_A11_4,1,1250.0
76,rl_A11_4_5,rn_A11_4,rn_A11_5,1,11250.0
77,rl_A11_5_29,rn_A11_5,rn_A11_29,1,2234.3427053592995
78,rl_A11_5_6,rn_A11_5,rn_A11_6,1,1250.0
79,rl_A11_6_7,rn_A11_6,rn_A11_7,1,14166.666700000002
80,rl_A11_7_8,rn_A11_7,rn_A11_8,1,1250.0
81,rl_A11_8_9,rn_A11_8,rn_A11_9,1,11250.0
82,rl_A11_9_10,rn_A11_9,rn_A11_10,1,1250.0
83,rl_A11_9_33,rn_A11_9,rn_A11_33,1,1964.299740622322
84,rl_A12_10_11,rn_A12_10,rn_A12_11,1,9166.666599999997
85,rl_A12_11_12,rn_A12_11,rn_A12_12,1,1250.0
86,rl_A12_11_13,rn_A12_11,rn_A12_13,1,2234.3427053592995
87,rl_A12_12_InterBay3_392,rn_A12_12,rn_InterBay3_392,1,1500.7164999139238
88,rl_A12_13_14,rn_A12_13,rn_A12_14,1,3086.614099999977
89,rl_A12_14_16,rn_A12_14,rn_A12_16,1,2234.3427882458054
90,rl_A12_15_16,rn_A12_15,rn_A12_16,1,1250.0
91,rl_A12_16_17,rn_A12_16,rn_A12_17,1,9166.666599999997
92,rl_A12_17_18,rn_A12_17,rn_A12_18,1,1250.0
93,rl_A12_18_19,rn_A12_18,rn_A12_19,1,11250.0
94,rl_A12_19_20,rn_A12_19,rn_A12_20,1,1250.0
95,rl_A12_19_31,rn_A12_19,rn_A12_31,1,2234.3427882458054
96,rl_A12_1_2,rn_A12_1,rn_A12_2,1,1250.0
97,rl_A12_20_21,rn_A12_20,rn_A12_21,1,14166.666700000002
98,rl_A12_21_22,rn_A12_21,rn_A12_22,1,1250.0
99,rl_A12_22_23,rn_A12_22,rn_A12_23,1,11250.0
100,rl_A12_23_24,rn_A12_23,rn_A12_24,1,1250.0
101,rl_A12_23_35,rn_A12_23,rn_A12_35,1,1964.2996634830454
102,rl_A12_24_25,rn_A12_24,rn_A12_25,1,9166.666670000006
103,rl_A12_25_26,rn_A12_25,rn_A12_26,1,1250.0
104,rl_A12_25_27,rn_A12_25,rn_A12_27,1,2234.3427882458054
105,rl_A12_26_InterBay2_227,rn_A12_26,rn_InterBay2_227,1,1500.7164721493982
106,rl_A12_27_28,rn_A12_27,rn_A12_28,1,3086.614099999977
107,rl_A12_28_2,rn_A12_28,rn_A12_2,1,2234.3427053592995
108,rl_A12_29_30,rn_A12_29,rn_A12_30,1,3086.614099999977
109,rl_A12_2_3,rn_A12_2,rn_A12_3,1,9166.666670000006
110,rl_A12_30_22,rn_A12_30,rn_A12_22,1,2234.3427882458054
111,rl_A12_31_32,rn_A12_31,rn_A12_32,1,3086.614099999977
112,rl_A12_32_8,rn_A12_32,rn_A12_8,1,2234.3427053592995
113,rl_A12_33_34,rn_A12_33,rn_A12_34,1,5303.3642999999865
114,rl_A12_34_A11_18,rn_A12_34,rn_A11_18,1,1964.2997406223442
115,rl_A12_35_36,rn_A12_35,rn_A12_36,1,5303.364399999991
116,rl_A12_36_A13_4,rn_A12_36,rn_A13_4,1,1964.2996634830454
117,rl_A12_3_4,rn_A12_3,rn_A12_4,1,1250.0
118,rl_A12_4_5,rn_A12_4,rn_A12_5,1,11250.0
119,rl_A12_5_29,rn_A12_5,rn_A12_29,1,2234.3427053592995
120,rl_A12_5_6,rn_A12_5,rn_A12_6,1,1250.0
121,rl_A12_6_7,rn_A12_6,rn_A12_7,1,14166.666700000002
122,rl_A12_7_8,rn_A12_7,rn_A12_8,1,1250.0
123,rl_A12_8_9,rn_A12_8,rn_A12_9,1,11250.0
124,rl_A12_9_10,rn_A12_9,rn_A12_10,1,1250.0
125,rl_A12_9_33,rn_A12_9,rn_A12_33,1,1964.2997406223442
126,rl_A13_10_11,rn_A13_10,rn_A13_11,1,9166.666599999997
127,rl_A13_11_12,rn_A13_11,rn_A13_12,1,1250.0
128,rl_A13_11_13,rn_A13_11,rn_A13_13,1,2234.3427053592995
129,rl_A13_12_InterBay3_400,rn_A13_12,rn_InterBay3_400,1,1500.7164279273077
